,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
188,"frozenset({'Green Mile', 'LOTR2'})","frozenset({'Sixth Sense', 'Harry Potter1'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
189,"frozenset({'Sixth Sense', 'Green Mile'})","frozenset({'LOTR2', 'Harry Potter1'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
190,frozenset({'Harry Potter1'}),"frozenset({'Green Mile', 'Sixth Sense', 'LOTR2'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
191,frozenset({'LOTR2'}),"frozenset({'Green Mile', 'Sixth Sense', 'Harry Potter1'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
192,frozenset({'Sixth Sense'}),"frozenset({'LOTR2', 'Green Mile', 'Harry Potter1'})",0.6,0.1,0.1,0.16666666666666669,1.6666666666666667,0.04000000000000001,1.08
193,frozenset({'Green Mile'}),"frozenset({'LOTR2', 'Sixth Sense', 'Harry Potter1'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
194,"frozenset({'LOTR1', 'Green Mile', 'LOTR2'})",frozenset({'Harry Potter1'}),0.1,0.2,0.1,1.0,5.0,0.08,inf
195,"frozenset({'LOTR1', 'LOTR2', 'Harry Potter1'})",frozenset({'Green Mile'}),0.1,0.2,0.1,1.0,5.0,0.08,inf
196,"frozenset({'LOTR1', 'Green Mile', 'Harry Potter1'})",frozenset({'LOTR2'}),0.1,0.2,0.1,1.0,5.0,0.08,inf
197,"frozenset({'Harry Potter1', 'Green Mile', 'LOTR2'})",frozenset({'LOTR1'}),0.1,0.2,0.1,1.0,5.0,0.08,inf
198,"frozenset({'LOTR1', 'LOTR2'})","frozenset({'Harry Potter1', 'Green Mile'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
199,"frozenset({'LOTR1', 'Green Mile'})","frozenset({'Harry Potter1', 'LOTR2'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
200,"frozenset({'LOTR1', 'Harry Potter1'})","frozenset({'Green Mile', 'LOTR2'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
201,"frozenset({'Green Mile', 'LOTR2'})","frozenset({'LOTR1', 'Harry Potter1'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
202,"frozenset({'Harry Potter1', 'LOTR2'})","frozenset({'LOTR1', 'Green Mile'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
203,"frozenset({'Harry Potter1', 'Green Mile'})","frozenset({'LOTR1', 'LOTR2'})",0.1,0.2,0.1,1.0,5.0,0.08,inf
204,frozenset({'LOTR1'}),"frozenset({'Harry Potter1', 'Green Mile', 'LOTR2'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
205,frozenset({'LOTR2'}),"frozenset({'LOTR1', 'Green Mile', 'Harry Potter1'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
206,frozenset({'Green Mile'}),"frozenset({'LOTR1', 'LOTR2', 'Harry Potter1'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
207,frozenset({'Harry Potter1'}),"frozenset({'LOTR1', 'Green Mile', 'LOTR2'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
208,"frozenset({'Harry Potter1', 'LOTR2', 'LOTR1', 'Green Mile'})",frozenset({'Sixth Sense'}),0.1,0.6,0.1,1.0,1.6666666666666667,0.04000000000000001,inf
209,"frozenset({'Harry Potter1', 'Sixth Sense', 'LOTR1', 'Green Mile'})",frozenset({'LOTR2'}),0.1,0.2,0.1,1.0,5.0,0.08,inf
210,"frozenset({'Harry Potter1', 'LOTR2', 'Sixth Sense', 'Green Mile'})",frozenset({'LOTR1'}),0.1,0.2,0.1,1.0,5.0,0.08,inf
211,"frozenset({'LOTR1', 'LOTR2', 'Sixth Sense', 'Green Mile'})",frozenset({'Harry Potter1'}),0.1,0.2,0.1,1.0,5.0,0.08,inf
212,"frozenset({'LOTR1', 'LOTR2', 'Sixth Sense', 'Harry Potter1'})",frozenset({'Green Mile'}),0.1,0.2,0.1,1.0,5.0,0.08,inf
213,"frozenset({'Harry Potter1', 'LOTR1', 'Green Mile'})","frozenset({'Sixth Sense', 'LOTR2'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
214,"frozenset({'Harry Potter1', 'LOTR2', 'Green Mile'})","frozenset({'LOTR1', 'Sixth Sense'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
215,"frozenset({'Harry Potter1', 'Sixth Sense', 'Green Mile'})","frozenset({'LOTR1', 'LOTR2'})",0.1,0.2,0.1,1.0,5.0,0.08,inf
216,"frozenset({'LOTR1', 'LOTR2', 'Green Mile'})","frozenset({'Sixth Sense', 'Harry Potter1'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
217,"frozenset({'LOTR1', 'Sixth Sense', 'Green Mile'})","frozenset({'LOTR2', 'Harry Potter1'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
218,"frozenset({'LOTR2', 'Sixth Sense', 'Green Mile'})","frozenset({'LOTR1', 'Harry Potter1'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
219,"frozenset({'LOTR1', 'LOTR2', 'Harry Potter1'})","frozenset({'Sixth Sense', 'Green Mile'})",0.1,0.2,0.1,1.0,5.0,0.08,inf
220,"frozenset({'LOTR1', 'Sixth Sense', 'Harry Potter1'})","frozenset({'LOTR2', 'Green Mile'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
221,"frozenset({'LOTR2', 'Sixth Sense', 'Harry Potter1'})","frozenset({'LOTR1', 'Green Mile'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
222,"frozenset({'LOTR1', 'Sixth Sense', 'LOTR2'})","frozenset({'Harry Potter1', 'Green Mile'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
223,"frozenset({'Harry Potter1', 'Green Mile'})","frozenset({'LOTR1', 'Sixth Sense', 'LOTR2'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
224,"frozenset({'LOTR1', 'Green Mile'})","frozenset({'LOTR2', 'Sixth Sense', 'Harry Potter1'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
225,"frozenset({'LOTR2', 'Green Mile'})","frozenset({'LOTR1', 'Sixth Sense', 'Harry Potter1'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
226,"frozenset({'Sixth Sense', 'Green Mile'})","frozenset({'LOTR1', 'LOTR2', 'Harry Potter1'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
227,"frozenset({'LOTR1', 'Harry Potter1'})","frozenset({'LOTR2', 'Sixth Sense', 'Green Mile'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
228,"frozenset({'LOTR2', 'Harry Potter1'})","frozenset({'LOTR1', 'Sixth Sense', 'Green Mile'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
229,"frozenset({'Sixth Sense', 'Harry Potter1'})","frozenset({'LOTR1', 'LOTR2', 'Green Mile'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
230,"frozenset({'LOTR1', 'LOTR2'})","frozenset({'Harry Potter1', 'Sixth Sense', 'Green Mile'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
231,"frozenset({'LOTR1', 'Sixth Sense'})","frozenset({'Harry Potter1', 'LOTR2', 'Green Mile'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
232,"frozenset({'Sixth Sense', 'LOTR2'})","frozenset({'Harry Potter1', 'LOTR1', 'Green Mile'})",0.1,0.1,0.1,1.0,10.0,0.09,inf
233,frozenset({'Green Mile'}),"frozenset({'LOTR1', 'LOTR2', 'Sixth Sense', 'Harry Potter1'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
234,frozenset({'Harry Potter1'}),"frozenset({'LOTR1', 'LOTR2', 'Sixth Sense', 'Green Mile'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
235,frozenset({'LOTR1'}),"frozenset({'Harry Potter1', 'LOTR2', 'Sixth Sense', 'Green Mile'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
236,frozenset({'LOTR2'}),"frozenset({'Harry Potter1', 'Sixth Sense', 'LOTR1', 'Green Mile'})",0.2,0.1,0.1,0.5,5.0,0.08,1.8
237,frozenset({'Sixth Sense'}),"frozenset({'Harry Potter1', 'LOTR2', 'LOTR1', 'Green Mile'})",0.6,0.1,0.1,0.16666666666666669,1.6666666666666667,0.04000000000000001,1.08
